x,y,y_pred
-1.374208799999999897e+00,3.987994999999999735e-01,9.588390211381105921e-01
-1.374208799999999897e+00,4.427340000000000164e-01,9.588390211381105921e-01
-1.372177800000000003e+00,5.294746999999999648e-01,9.574302677262205297e-01
-1.368595800000000029e+00,2.274164900000000156e+00,9.549457011474954404e-01
-1.368595800000000029e+00,2.214137899999999881e+00,9.549457011474954404e-01
-1.367602399999999996e+00,5.347252999999999590e-01,9.542566535653330684e-01
-1.365336399999999895e+00,6.501808000000000032e-01,9.526848981584677967e-01
-1.358324099999999923e+00,6.395992000000000344e-01,9.478209879909652580e-01
-1.354790900000000020e+00,7.039733999999999714e-01,9.453702703371540395e-01
-1.345971500000000098e+00,2.487318699999999883e+00,9.392529095095696334e-01
-1.345896200000000098e+00,4.020692000000000155e-01,9.392006795086265125e-01
-1.342278300000000035e+00,3.728086999999999929e-01,9.366912117740733290e-01
-1.341936400000000029e+00,7.716596000000000011e-01,9.364540612120225704e-01
-1.340363900000000053e+00,2.826403000000000110e-01,9.353633350967112126e-01
-1.340363900000000053e+00,4.558840000000000114e-01,9.353633350967112126e-01
-1.339782100000000087e+00,6.397515000000000285e-01,9.349597837746838058e-01
-1.337893100000000057e+00,2.373523300000000003e+00,9.336495251852889865e-01
-1.337314200000000008e+00,7.694819999999999993e-01,9.332479853772421841e-01
-1.335027699999999928e+00,1.047467900000000007e+00,9.316620106474110541e-01
-1.332780999999999993e+00,2.561982800000000005e+00,9.301036422128992065e-01
-1.332159400000000105e+00,2.609206200000000031e+00,9.296724845955526284e-01
-1.326207399999999925e+00,8.342235999999999541e-01,9.255440255568668784e-01
-1.323809699999999978e+00,5.164923999999999626e-01,9.238809196702646442e-01
-1.323428899999999908e+00,5.828778000000000015e-01,9.236167870758541509e-01
-1.320079900000000084e+00,5.895340000000000025e-01,9.212938352410829923e-01
-1.315474100000000091e+00,8.921744000000000341e-01,9.180991348646753147e-01
-1.312931000000000070e+00,2.375262300000000160e+00,9.163351758288419413e-01
-1.311952299999999960e+00,4.521457999999999866e-01,9.156563245416843300e-01
-1.306592100000000034e+00,5.324486999999999970e-01,9.119383530801313809e-01
-1.304020100000000015e+00,2.329626699999999939e+00,9.101543482670435559e-01
-1.303063499999999930e+00,4.346921999999999731e-01,9.094908261036687147e-01
-1.302659699999999976e+00,5.975388999999999839e-01,9.092107401225159036e-01
-1.301780799999999960e+00,2.443190099999999809e+00,9.086011126613094957e-01
-1.296740800000000027e+00,3.534771999999999914e-01,9.051052400882287907e-01
-1.294344900000000020e+00,6.211718999999999991e-01,9.034433827275456519e-01
-1.292678200000000110e+00,5.879883000000000193e-01,9.022873170891422268e-01
-1.292588599999999976e+00,3.601107000000000058e-01,9.022251682433984898e-01
-1.291719199999999956e+00,4.318170000000000064e-01,9.016221302245420732e-01
-1.290972599999999915e+00,2.002910200000000085e+00,9.011042694183790669e-01
-1.286915999999999949e+00,3.453276000000000123e-01,8.982905081723556728e-01
-1.284051300000000007e+00,2.303781900000000160e+00,8.963034791723349937e-01
-1.281915700000000102e+00,4.861726000000000103e-01,8.948221725320433251e-01
-1.280378900000000097e+00,7.232315999999999745e-01,8.937562088474578781e-01
-1.278448699999999993e+00,6.514777999999999958e-01,8.924173728870290478e-01
-1.276239600000000030e+00,2.179774300000000054e+00,8.908850847717132426e-01
-1.272496400000000083e+00,2.889766999999999753e-01,8.882887057606905223e-01
-1.271811500000000095e+00,6.545585999999999904e-01,8.878136416485271631e-01
-1.271643000000000079e+00,3.877881000000000244e-01,8.876967657500025588e-01
-1.267057899999999959e+00,1.889154999999999862e-01,8.845164234216628119e-01
-1.264269499999999935e+00,2.326006899999999877e+00,8.825823180480957264e-01
